City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Shimoda,JP,34.6667,138.95,67.1,74,57,2.46,broken clouds
325,Tena,EC,-0.9833,-77.8167,69.08,96,100,2.8,overcast clouds
326,Libourne,FR,44.9167,-0.25,52.3,51,16,7.36,few clouds
327,Kilinochchi,LK,9.3961,80.3982,86.74,57,2,4.72,clear sky
328,Nome,US,64.5011,-165.4064,25.16,74,100,6.91,overcast clouds
329,Casper,US,42.8666,-106.3131,43.39,52,0,5.75,clear sky
330,Kaitong,CN,44.8135,123.15,43.11,29,2,16.49,clear sky
331,Sabang,ID,5.8933,95.3214,82.35,74,22,1.61,few clouds
332,Dingle,PH,10.9995,122.6711,89.04,54,100,13.2,overcast clouds
333,Hofn,IS,64.2539,-15.2082,44.89,96,100,7.05,overcast clouds
334,Yenagoa,NG,4.9247,6.2642,78.55,90,16,3.67,few clouds
335,Vozhega,RU,60.4725,40.2213,17.1,86,100,17.11,overcast clouds
336,Payakumbuh,ID,-0.2202,100.6308,89.64,31,6,0.98,clear sky
337,Bonfim,BR,3.0833,-59.95,78.46,73,100,6.73,overcast clouds
338,Mangrol,IN,21.1167,70.1167,86.25,39,8,10.92,clear sky
339,Asau,RO,46.4333,26.4,43.72,83,75,1.66,broken clouds
340,Korla,CN,41.7597,86.1469,53.1,35,64,2.66,broken clouds
341,Awjilah,LY,29.1081,21.2869,54.21,21,0,10.45,clear sky
342,Vila Velha,BR,-20.3297,-40.2925,78.75,86,0,8.05,clear sky
